"icono","Año","Región agrícola","Municipio","Barrio","Cultivo","Nombre cientifíco","Unidad de producción","Producción","Producción en libras","Producción en kilogramos","Cuerdas sembradas","Hectáreas sembradas","Pies cuadrados sembrados","Cuerdas cosechadas","Hectáreas cosechadas","Pies cuadrados cosechados","USDA plant database"
"","2013","Naranjito","Corozal","Abras","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","1.00","0.39","42,306.43","0.00","0.00","0.00","USDA plant database"
"","2014","Naranjito","Corozal","Abras","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2013","Naranjito","Corozal","Cibuco","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","0.50","0.20","21,153.21","0.00","0.00","0.00","USDA plant database"
"","2014","Naranjito","Corozal","Cibuco","Ají dulce","Capsicum chinense","Quintal","40","4,000.00","1,814.37","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","San Germán","Guánica","Susúa Baja","Brécol","Brassica oleracea","Quintal","3","300.00","136.08","0.05","0.02","2,115.32","0.05","0.02","2,115.32","USDA plant database"
"","2016","Naranjito","Corozal","Padilla","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","2.00","0.79","84,612.85","2.00","0.79","84,612.85","USDA plant database"
"","2013","Naranjito","Corozal","Palmarejo","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","1.00","0.39","42,306.43","0.00","0.00","0.00","USDA plant database"
"","2014","Naranjito","Corozal","Palmarejo","Ají dulce","Capsicum chinense","Quintal","0","0.00","0.00","1.00","0.39","42,306.43","0.00","0.00","0.00","USDA plant database"
"","2013","Naranjito","Corozal","Palmarito","Ají dulce","Capsicum chinense","Quintal","132","13,200.00","5,987.41","","","","1,201.00","472.04","50,810,018.12","USDA plant database"
"","2014","Naranjito","Corozal","Palmarito","Ají dulce","Capsicum chinense","Quintal","1,610","161,000.00","73,028.31","","","","","","","USDA plant database"
"","2015","Naranjito","Corozal","Palmarito","Ají dulce","Capsicum chinense","Quintal","6","600.00","272.16","0.50","0.20","21,153.21","0.50","0.20","21,153.21","USDA plant database"
"","2013","Naranjito","Corozal","Palos Blancos","Ají dulce","Capsicum chinense","Quintal","12","1,200.00","544.31","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Naranjito","Corozal","Palos Blancos","Ají dulce","Capsicum chinense","Quintal","80","8,000.00","3,628.74","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2014","Arecibo","Dorado","Higuillar","Ají dulce","Capsicum chinense","Quintal","","","","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
"","2016","Caguas","Fajardo","Florencio","Ají dulce","Capsicum chinense","Quintal","20","2,000.00","907.18","0.25","0.10","10,576.61","0.25","0.10","10,576.61","USDA plant database"
"","2013","Caguas","Fajardo","Quebrada Vueltas","Ají dulce","Capsicum chinense","Quintal","60","6,000.00","2,721.55","1.00","0.39","42,306.43","1.00","0.39","42,306.43","USDA plant database"
